orderId;item;url;courierNumber;dateTo;quantity;discountPrice;price;deliveryPost;payment;pvzId;ord;pai;rec;ship;;
678780ff59f103dce29e040c;Туфли;https://www.wildberries.ru/catalog/18219971/detail.aspx;;2024-03-12;1;;1229;;1413;6745c7ddc775afaf7466bbd4;true;true;true;true;;
678780ff59f103dce29e040c;Сумка;https://www.ozon.ru/product/sumka-na-plecho-kross-bodi-1430685596/;LK282924447CN;2024-04-08;1;;1235;;1420;6745c7ddc775afaf7466bbcf;true;true;true;true;;
678780ff59f103dce29e040c;Носки;https://www.wildberries.ru/catalog/156345767/detail.aspx;;2024-03-12;1;;434;;499;6745c7ddc775afaf7466bbd4;true;true;true;true;;
678780ff59f103dce29e040c;Книга;https://www.wildberries.ru/catalog/12762408/detail.aspx;;2024-03-12;1;;299;;344;6745c7ddc775afaf7466bbd4;true;true;true;true;;
678780ff59f103dce29e040d;Конфеты Мишка;https://www.wildberries.ru/catalog/48995102/detail.aspx;;2024-03-13;1;;795;;875;6745c7ddc775afaf7466bbd4;true;true;true;true;;
678780ff59f103dce29e040d;Помада губная;https://www.wildberries.ru/catalog/207067910/detail.aspx;;2024-03-23;1;;496;;546;6745c7ddc775afaf7466bbd4;true;true;true;true;;
678780ff59f103dce29e040d;Помада для бровей;https://www.wildberries.ru/catalog/29977388/detail.aspx;;2024-03-13;1;;353;;388;6745c7ddc775afaf7466bbd4;true;true;true;true;;
678780ff59f103dce29e040d;Помада губная;https://www.wildberries.ru/catalog/196317275/detail.aspx;;2024-03-23;1;;496;;546;6745c7ddc775afaf7466bbd4;true;true;true;true;;
678780ff59f103dce29e040d;Помада губная;https://www.wildberries.ru/catalog/191461719/detail.aspx;;2024-03-23;1;;394;;433;6745c7ddc775afaf7466bbd4;true;true;true;true;;
678780ff59f103dce29e040e;Дешеддер;https://www.ozon.ru/product/deshedder-shetka-dlya-vychesyvaniya-shersti-puhoderka-chesalka-dlya-zhivotnyh-sobak-i-1202945542/?from=share_android&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm;;2024-03-12;1;;230;;265;6745c7ddc775afaf7466bbcf;true;true;true;true;;
678780ff59f103dce29e040e;Расческа, триммер;https://www.ozon.ru/product/furminator-rascheska-deshedder-puhoderka-chesalka-trimmer-dlya-zhivotnyh-sobak-i-koshek-728606734/?from=share_android&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm;;2024-03-16;1;;401;;461;6745c7ddc775afaf7466bbcf;true;true;true;true;;
678780ff59f103dce29e040e;Кора из сосны;https://www.ozon.ru/product/kora-iz-sosny-pinii-fraktsiya-12-20mm-5litra-plyus-udobrenie-v-podarok-1385554730/?from=share_android&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm;;2024-03-18;1;;783;;900;6745c7ddc775afaf7466bbcf;true;true;true;true;;
678780ff59f103dce29e040e;Триферн;https://www.ozon.ru/product/tree-fern-trifern-2-litra-korni-paporotnika-903179093/?from=share_android&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm;;2024-03-12;1;;821;;944;6745c7ddc775afaf7466bbcf;true;true;true;true;;
678780ff59f103dce29e040e;Горшки для цветов;https://www.ozon.ru/product/botanica-gorshok-dlya-tsvetov-9-sm-h-12-5-sm-h-12-5-sm-0-7-l-3-sht-1066200126/?from=share_android&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm;;2024-03-19;2;;544;;1251;6745c7ddc775afaf7466bbcf;true;true;true;true;;
678780ff59f103dce29e040e;Нитковдеватель;https://www.ozon.ru/product/nitkovdevatel-dlya-igolki-nitevdevatel-dlya-shveynoy-mashiny-10-sht-1313914160/?from=share_android&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm;;2024-03-12;1;;159;;183;6745c7ddc775afaf7466bbcf;true;true;true;true;;
678780ff59f103dce29e040e;Маска для сужения;https://www.ozon.ru/product/maska-dlya-suzheniya-por-natura-siberica-bereza-siberica-ochishchayushchaya-75-ml-1125183837/?from=share_android&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm;;2024-03-12;1;;262;;301;6745c7ddc775afaf7466bbcf;true;true;true;true;;
678780ff59f103dce29e040e;Горшки для орхидей;https://www.wildberries.ru/catalog/202886356/detail.aspx;;2024-03-15;2;;384;;883;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e040f;Тестер блок автомобиля;https://www.ozon.ru/product/obd2-16pin-raspredelitelnyy-blok-avtomobilya-tester-ustranitel-neispravnostey-1323745109/?_fr=1710098963&from=share_android&sh=j5XP0E4rCQ&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm;LK282578283CN;2024-04-05;1;;2789;;3207;6745c7ddc775afaf7466bbdc;true;true;true;true;;
678780ff59f103dce29e040f;Набор измер. Инструментов;https://www.ozon.ru/product/nabor-izmeritelnyh-aksessuarov-1453871478/?from=share_android&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm;LK282577518CN;2024-04-05;1;;462;;531;6745c7ddc775afaf7466bbdc;true;true;true;true;;
678780ff59f103dce29e0410;Мини платье;https://www.wildberries.ru/catalog/134083902/detail.aspx;;2024-03-16;1;;1190;;1390;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e0411;Из за рубежа;;;2024-03-15;1;;2135;;2455;6745c7ddc775afaf7466bbcf;true;true;true;true;;
678780ff59f103dce29e0412;Протеин Maxler;https://www.wildberries.ru/catalog/65579476/detail.aspx;;2024-03-18;1;;3549;;4081;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e0413;Кольцо;https://www.wildberries.ru/catalog/203578983/detail.aspx?targetUrl=SP&size=327859832;;2024-03-28;1;;2100;;2415;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e0414;Книга Том 2;https://www.wildberries.ru/catalog/12762409/detail.aspx?size=39317336;;2024-03-18;1;;275;;316;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e0414;Скульптор стик для лица;https://www.wildberries.ru/catalog/29669199/detail.aspx?size=66038573;;2024-03-18;1;;292;;336;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e0414;Книга Мартин Иден;https://www.wildberries.ru/catalog/59285955/detail.aspx?size=106323763;;2024-03-18;1;;374;;430;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e0414;Стикеры закладки;https://www.wildberries.ru/catalog/118172914/detail.aspx?size=210302176;;2024-03-18;1;;88;;101;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e0414;Маркеры;https://www.wildberries.ru/catalog/115002412/detail.aspx;;2024-03-18;1;;159;;183;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e0414;Набор Мармеладские игры;https://www.wildberries.ru/catalog/203613043/detail.aspx;;2024-03-19;1;;409;;470;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e0414;Кислородный очиститель;https://www.ozon.ru/product/kislorodnyy-ochistitel-brandfree-1-kg-pyatnovyvoditel-dlya-belogo-tsvetnogo-belya-655295171/?from=share_android&utm_campaign=productpage_link&utm_medium=share_button&utm_source=smm;;2024-03-17;1;;310;;357;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e0414;Книга Цветы для Элджернона;https://ozon.ru/t/oRayMEJ;;2024-03-18;1;;264;;304;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e0415;Наушники;;;2024-03-18;1;;2189;;2517;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e0416;Накладка консоли Mercedes;;;2024-03-23;1;;1301;;1501;6745c7ddc775afaf7466bbdb;true;true;true;true;;
678780ff59f103dce29e0417;Тиски;https://ozon.ru/t/pGL727D;;2024-03-23;1;;1477;;1699;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e0418;Телефон Samsung;https://ozon.ru/t/qARVVGg;;2024-03-22;1;;29654;1483;34102;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e0418;Чехол;https://ozon.ru/t/6V7qaBw;;2024-03-24;1;;307;;338;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e0419;Подсумок;https://ozon.ru/t/jE1w7rd;;2024-03-20;1;;425;;625;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041a;Прикормка для рыбалки;https://ozon.ru/t/ZkGMNa2;;2024-03-21;1;;229;;263;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041a;Подсак для рыбалки;https://ozon.ru/t/rLrM1wW;;2024-03-29;1;;1399;;1609;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041a;Катушка для рыбалки;https://ozon.ru/t/AR8g1yK;;2024-03-21;1;;570;;656;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041a;Прикормка для рыбалки Dunaev;https://ozon.ru/t/jE85Qww;;2024-03-22;1;;212;;244;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041a;Рюкзак;https://ozon.ru/t/akQMbwo;;2024-03-23;1;;1246;;1433;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041a;Прикормка чеснок;https://ozon.ru/t/ZkGMjgq;;2024-03-24;1;;388;;446;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041a;Пижама;https://ozon.ru/t/L9B0LZ5;;2024-03-21;1;;531;;611;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041b;Контейнер для еды;https://www.wildberries.ru/catalog/68397520/detail.aspx?targetUrl=SN;;2024-03-22;1;;1199;;1319;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e041b;Discreet 100шт;https://www.wildberries.ru/catalog/174283935/detail.aspx;;2024-03-28;1;;470;;517;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e041b;Туалетный блок с хлор;https://www.wildberries.ru/catalog/110382765/detail.aspx?targetUrl=SN;;2024-03-22;1;;428;;471;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e041b;Discreet 54шт;https://www.wildberries.ru/catalog/168257661/detail.aspx?targetUrl=SN;;2024-03-22;1;;284;;312;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e041b;Туалетный блок цветочный;https://www.wildberries.ru/catalog/110382766/detail.aspx?targetUrl=SN;;2024-03-22;1;;454;;499;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e041b;Крепление для телека;https://www.wildberries.ru/catalog/181462454/detail.aspx?targetUrl=SN;;2024-03-25;1;;524;;576;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e041d;Экзаменационные билеты;https://ozon.ru/t/aoZgDa6;;2024-03-26;1;;484;;684;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041e;Коврик для мыши;https://ozon.ru/t/NP6yLWY;;2024-03-25;1;;155;;178;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041e;Снеки;https://www.wildberries.ru/catalog/23724789/detail.aspx?targetUrl=SN;;2024-03-27;1;;278;;320;6745c7ddc775afaf7466bbd6;true;true;true;true;;
678780ff59f103dce29e041e;Кокосовая сгущенка;https://ozon.ru/t/pa40p0b;;2024-03-26;1;;362;;416;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041e;Соевое Мясо;https://ozon.ru/t/BlZgMjJ;;2024-03-31;1;;360;;414;6745c7ddc775afaf7466bbd2;true;true;true;true;;
678780ff59f103dce29e041e;Арахисовая паста;https://ozon.ru/t/DlGZ0j4;;2024-03-26;1;;565;;650;6745c7ddc775afaf7466bbd2;true;true;true;true;;
